13-10-2021 08:19:50 INFO  AppointmentAtGuichet1Job:58 - Tentative de prise de rendez-vous demandé par l'utilisateur 
13-10-2021 08:19:54 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 08:19:56 INFO  AppointmentAtGuichet1Job:114 - [1] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 08:19:56 INFO  AppointmentAtGuichet1Job:58 - Tentative de prise de rendez-vous demandé par l'utilisateur 
13-10-2021 08:19:57 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 08:19:58 INFO  AppointmentAtGuichet1Job:114 - [2] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 08:19:59 INFO  AppointmentAtGuichet1Job:58 - Tentative de prise de rendez-vous demandé par l'utilisateur 
13-10-2021 08:20:00 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 08:20:01 INFO  AppointmentAtGuichet1Job:114 - [3] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 10:30:12 INFO  AppointmentAtGuichet1Job:44 - [1] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 10:30:15 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 10:30:16 INFO  AppointmentAtGuichet1Job:114 - [4] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 10:30:30 INFO  AppointmentAtGuichet1Job:58 - Tentative de prise de rendez-vous demandé par l'utilisateur 
13-10-2021 10:30:34 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 10:30:36 INFO  AppointmentAtGuichet1Job:114 - [1] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 10:30:56 INFO  AppointmentAtGuichet1Job:58 - Tentative de prise de rendez-vous demandé par l'utilisateur 
13-10-2021 10:30:57 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
